GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0044804	autophagy of nucleus	0.004439039542962566	0.004439039542962566	+1	YBL078C,YBR128C,YCR068W,YDL019C,YDL149W,YGL180W,YGR223C,YHR171W,YHR195W,YLR312C,YNL223W,YNL242W,YNR007C,YPL100W,YPL166W
GO:0009266	response to temperature stimulus	0.004714328471237727	0.004714328471237727	+1	YBR072W,YBR126C,YDL079C,YDR059C,YDR074W,YDR258C,YER103W,YFL014W,YFL016C,YGR086C,YGR144W,YJL141C,YLL026W,YLR270W,YLR438W,YMR037C,YMR139W,YOL052C-A,YOR173W,YOR178C,YPL004C,YPR026W,YPR158W
GO:0009414	response to water deprivation	0.005313126902184508	0.005313126902184508	+1	YBR126C,YDR001C,YGR008C,YJL144W,YLR438W,YMR175W,YPR026W
GO:0062012	regulation of small molecule metabolic process	0.006087221320110133	0.006087221320110133	+1	YAL017W,YCL039W,YDL216C,YDR216W,YDR255C,YEL012W,YFR017C,YGL227W,YGR066C,YIL017C,YIL045W,YIL097W,YIR017C,YJL089W,YJL103C,YLR345W,YMR135C,YPL219W
GO:0070413	trehalose metabolism in response to stress	0.006230677659139539	0.006230677659139539	+1	YBR126C,YDR074W,YLL026W,YML100W,YMR261C
GO:0044282	small molecule catabolic process	0.007339750166437655	0.007339750166437655	+1	YBR006W,YBR018C,YBR177C,YDR216W,YDR368W,YDR380W,YDR530C,YDR533C,YGL156W,YGR019W,YGR087C,YGR194C,YHR037W,YHR104W,YHR137W,YHR139C,YIL155C,YIL160C,YJR019C,YJR096W,YKL188C,YLR284C,YLR438W,YML004C,YML070W,YMR105C,YMR250W,YNL160W,YNL274C,YOR120W,YPL061W
GO:0046364	monosaccharide biosynthetic process	0.008509884565688314	0.008509884565688314	+1	YBR053C,YCL039W,YDR255C,YEL012W,YGL062W,YGL227W,YGR066C,YIL017C,YIL097W,YJL052W,YJL089W,YJL103C,YMR135C
GO:0062014	negative regulation of small molecule metabolic process	0.009734421092096622	0.009734421092096622	+1	YCL039W,YDR255C,YEL012W,YGL227W,YGR066C,YIL017C,YIL097W,YMR135C
GO:0034727	piecemeal microautophagy of the nucleus	0.012069224937074914	0.012069224937074914	+1	YBL078C,YBR128C,YCR068W,YDL019C,YDL149W,YGL180W,YGR223C,YHR171W,YHR195W,YNL223W,YNL242W,YNR007C,YPL100W,YPL166W
GO:0070941	eisosome assembly	0.013390479433164477	0.013390479433164477	+1	YGR086C,YGR131W,YIL105C,YMR031C,YMR104C,YPL004C,YPR149W
GO:0009408	response to heat	0.013645762335955994	0.013645762335955994	+1	YBR072W,YBR126C,YDL079C,YDR059C,YDR074W,YDR258C,YER103W,YFL014W,YFL016C,YGR086C,YJL141C,YLL026W,YLR270W,YLR438W,YMR037C,YMR139W,YOL052C-A,YOR173W,YOR178C,YPL004C,YPR158W
GO:0046351	disaccharide biosynthetic process	0.014137030156381446	0.014137030156381446	+1	YBR126C,YDR074W,YKL035W,YML100W,YMR105C,YMR261C
GO:0019319	hexose biosynthetic process	0.016609487891516467	0.016609487891516467	+1	YCL039W,YDR255C,YEL012W,YGL062W,YGL227W,YGR066C,YIL017C,YIL097W,YJL052W,YJL089W,YJL103C,YMR135C
GO:0006094	gluconeogenesis	0.016609487891516467	0.016609487891516467	+1	YCL039W,YDR255C,YEL012W,YGL062W,YGL227W,YGR066C,YIL017C,YIL097W,YJL052W,YJL089W,YJL103C,YMR135C
GO:0005984	disaccharide metabolic process	0.016609487891516467	0.016609487891516467	+1	YBR001C,YBR126C,YBR298C,YDR001C,YDR074W,YGR289C,YKL035W,YLL026W,YML100W,YMR105C,YMR261C,YPR026W
GO:0044264	cellular polysaccharide metabolic process	0.016923346629130188	0.016923346629130188	+1	YAL017W,YBR056W,YEL011W,YER054C,YER096W,YFR003C,YFR015C,YFR017C,YGR143W,YIL045W,YIL099W,YKL035W,YKR058W,YLR258W,YMR105C,YOR178C,YPL219W,YPR160W,YPR184W
GO:0032787	monocarboxylic acid metabolic process	0.017747536708637546	0.017747536708637546	+1	YBL015W,YBR006W,YBR177C,YCL040W,YDL021W,YDR380W,YDR516C,YDR533C,YER065C,YFR053C,YGL062W,YGR019W,YGR087C,YGR256W,YIL160C,YJL052W,YJR019C,YKL188C,YLR174W,YLR284C,YLR345W,YLR446W,YML004C,YML054C,YMR169C,YMR170C,YMR323W,YNL274C,YOR100C,YOR347C,YOR374W,YPL061W
GO:0044042	glucan metabolic process	0.02064129021382698	0.02064129021382698	+1	YAL017W,YBR056W,YEL011W,YER054C,YFR003C,YFR015C,YFR017C,YGR143W,YIL045W,YIL099W,YKL035W,YKR058W,YLR258W,YMR105C,YOR178C,YPL219W,YPR160W,YPR184W
GO:0006073	cellular glucan metabolic process	0.02064129021382698	0.02064129021382698	+1	YAL017W,YBR056W,YEL011W,YER054C,YFR003C,YFR015C,YFR017C,YGR143W,YIL045W,YIL099W,YKL035W,YKR058W,YLR258W,YMR105C,YOR178C,YPL219W,YPR160W,YPR184W
GO:0042221	response to chemical	0.022207117418607678	0.022207117418607678	+1	YAL028W,YBL064C,YBR006W,YBR014C,YBR046C,YBR126C,YCL035C,YCR091W,YDL020C,YDL022W,YDL079C,YDL124W,YDL214C,YDL216C,YDR001C,YDR043C,YDR085C,YDR216W,YDR368W,YDR406W,YDR453C,YDR513W,YDR533C,YER020W,YFL014W,YFR008W,YFR014C,YGL158W,YGL166W,YGL237C,YGR008C,YGR023W,YGR043C,YGR088W,YHL035C,YHR104W,YIL036W,YIL056W,YIL101C,YIL113W,YJL089W,YJL103C,YJL144W,YJR096W,YKL026C,YKL150W,YLR006C,YLR270W,YLR350W,YLR417W,YLR438W,YML070W,YML127W,YMR037C,YMR139W,YMR173W,YMR175W,YMR250W,YMR280C,YMR291W,YNL007C,YNL025C,YNL036W,YNL098C,YNL159C,YNL305C,YNR047W,YOL013C,YOL016C,YOL052C-A,YOL082W,YOL117W,YOR018W,YOR028C,YOR052C,YOR120W,YOR162C,YOR173W,YOR219C,YPL196W,YPL230W,YPR026W
GO:0042732	D-xylose metabolic process	0.034386890905448754	0.034386890905448754	+1	YDR368W,YGR194C,YHR104W,YJR096W,YOR120W
GO:0016237	lysosomal microautophagy	0.034659054210023986	0.034659054210023986	+1	YBL078C,YBR128C,YCR068W,YDL019C,YDL149W,YGL180W,YGR223C,YHR171W,YHR195W,YNL223W,YNL242W,YNR007C,YPL100W,YPL154C,YPL166W
GO:0061709	reticulophagy	0.03893219830067471	0.03893219830067471	+1	YBL078C,YDL149W,YGL180W,YLR312C,YNL242W,YOR152C
GO:0009312	oligosaccharide biosynthetic process	0.03893219830067471	0.03893219830067471	+1	YBR126C,YDR074W,YKL035W,YML100W,YMR105C,YMR261C
