external_gene_name	ensembl_gene_id	Yeast_conservation	dN/dS	Multifunctionality	Disorder	PPI_degree	SM_fitness_defect	Copy_number	CAI	Nc	Co-expression_degree	Protein_length	Expression_level	Expression_variation	Num_of_domains	Num_of_unique_domains	Broad_conservation	Observed_GI_degree	Ortholog_in_other_species_common_name	Ortholog_in_other_species_systematic name
YKR106W	YKR106W	14	NaN	4	0.174	0	-0.031	6	0.206	5.35E+01	14	615	0.3	0.5708	1	1	0	5		
YAL065C	YAL065C	1	NaN	5	0.3438	0	-0.053	1	0.2	61	30	128	NaN	0.3866	NaN	NaN	NaN	28		
YFL068W	YFL068W	1	NaN	5	0.1437	0	NaN	1	0.275	5.37E+01	38	160	NaN	0.4628	NaN	NaN	NaN	NaN		
YFL067W	YFL067W	11	NaN	5	0.76	0	NaN	2	0.227	2.84E+01	39	175	NaN	0.5306	NaN	NaN	1	NaN		
YFL066C	YFL066C	1	NaN	9	0.0434	0	NaN	1	0.187	6.06E+01	55	392	1.1	0.5363	2	2	NaN	NaN		
YFL065C	YFL065C	1	NaN	3	0.1471	0	NaN	1	0.188	5.26E+01	39	102	0.3	0.4657	NaN	NaN	NaN	NaN		
YFL064C	YFL064C	1	NaN	3	0.1092	0	NaN	1	0.216	61	42	174	0.3	0.5344	NaN	NaN	NaN	NaN		
COS4	YFL062W	4	0.3286	5	0.1214	15	NaN	9	0.235	5.71E+01	569	379	3	0.5737	2	1	NaN	NaN		
YFL061W	YFL061W	10	NaN	4	0.0267	1	NaN	2	0.217	5.57E+01	57	225	NaN	0.5069	1	1	1	NaN		
SNO3	YFL060C	21	0.1331	7	0.0811	4	NaN	3	0.251	5.55E+01	38	222	0.2	0.5106	1	1	2	NaN		
SNZ3	YFL059W	21	0.042	8	0.0302	11	NaN	3	0.305	5.23E+01	58	298	0.4	0.5901	1	1	12	NaN		
THI5	YFL058W	18	0.0362	5	0.0118	0	NaN	4	0.579	3.43E+01	239	340	0.2	0.6108	1	1	1	NaN		
AAD16	YFL057C	1	NaN	6	0.1974	1	NaN	1	0.294	5.03E+01	80	152	1.8	0.5704	1	1	1	NaN		
AAD6	YFL056C	4	NaN	6	0.0236	1	-0.066	1	0.241	5.48E+01	76	212	0.1	0.5007	1	1	2	5		
AGP3	YFL055W	23	0.0551	6	0.1093	0	-0.054	16	0.205	5.21E+01	108	558	0.3	0.684	1	1	42	10	SPCC965.11c	SPCC965.11c
YFL054C	YFL054C	14	0.16	8	0.4799	3	-0.021	2	0.209	5.31E+01	410	646	0.4	0.7166	1	1	5	16	SPAC977.17	SPAC977.17
DAK2	YFL053W	23	0.0672	9	0.066	0	-0.023	2	0.222	4.76E+01	29	591	NaN	0.7345	2	2	43	2	dak2	SPAC977.16c
YFL052W	YFL052W	5	0.0662	10	0.1677	0	-0.013	1	0.207	5.61E+01	128	465	NaN	0.7846	2	2	1	24		
YFL051C	YFL051C	4	NaN	5	0.0625	0	0.004	1	0.203	61	27	160	NaN	0.7004	1	1	NaN	25		
ALR2	YFL050C	23	NaN	11	0.5058	0	0.002	3	0.197	5.12E+01	9	858	0.3	0.4484	2	1	1	9		
SWP82	YFL049W	16	0.1145	10	0.175	6	0.016	1	0.233	5.06E+01	367	623	0.4	0.2708	1	1	0	11		
EMP47	YFL048C	23	0.0569	13	0.1416	20	-0.025	2	0.257	4.88E+01	179	445	2	0.2215	1	1	11	5		
RGD2	YFL047W	23	0.0644	12	0.1639	4	-0.042	1	0.23	5.29E+01	150	714	0.6	0.3595	3	3	20	8	rga8	SPAC13A11.01c
YFL046W	YFL046W	23	0.0393	5	0.1449	0	-0.037	1	0.181	4.84E+01	162	207	0.8	0.2192	1	1	40	7	SPAC2C4.09	SPAC2C4.09
SEC53	YFL045C	23	0.0653	9	0.0276	6	NaN	1	0.58	3.56E+01	608	254	9.4	0.6128	1	1	79	NaN	pmm1	SPAC1556.07
OTU1	YFL044C	23	0.1298	12	0.2326	3	-0.009	1	0.273	5.33E+01	495	301	0.6	0.5279	1	1	64	2	otu1	SPAC24C9.14
YFL042C	YFL042C	23	0.1329	5	0.4318	1	-0.027	4	0.212	5.67E+01	730	674	0.2	0.6243	1	1	44	12		
FET5	YFL041W	23	0.0628	16	0.0997	8	-0.03	3	0.235	5.23E+01	94	622	1.1	0.3663	3	3	26	5		
YFL040W	YFL040W	20	0.0457	5	0.1407	0	-0.017	1	0.194	5.54E+01	68	540	NaN	0.5801	1	1	0	11		
ACT1	YFL039C	23	0	45	0.0347	24	NaN	1	0.724	2.96E+01	204	375	21.1	0.3528	1	1	86	NaN	act1	SPBC32H8.12c
YPT1	YFL038C	23	0.0009	25	0.1942	18	NaN	1	0.268	5.14E+01	240	206	12.3	0.3529	1	1	86	NaN	ypt1	SPBC1703.10
TUB2	YFL037W	23	0.0053	20	0.07	31	NaN	1	0.337	4.48E+01	568	457	6.5	0.4782	2	2	85	NaN	nda3	SPBC26H8.07c
RPO41	YFL036W	21	0.0336	12	0.2191	0	0.374	1	0.246	4.67E+01	191	1351	0.8	0.513	1	1	66	88	rpo41	SPAC26H5.12
MOB2	YFL034C-B	23	0.0211	14	NaN	0	NaN	1	0.237	5.13E+01	71	287	NaN	0.2739	NaN	NaN	9	NaN	mob2	SPCC970.04c
YFL034W	YFL034W	23	0.0678	4	0.3495	4	-0.055	1	0.242	5.00E+01	117	1073	0.3	0.3301	1	1	27	17	SPAC6F6.13c	SPAC6F6.13c
RIM15	YFL033C	23	0.0727	19	0.4989	1	0.042	1	0.204	5.42E+01	86	1770	0.4	0.4281	3	2	16	58		
HAC1	YFL031W	20	0.1576	14	0.3782	0	0.011	1	0.18	5.99E+01	26	238	4	0.6005	1	1	2	62		
AGX1	YFL030W	19	0.0566	7	0.0182	0	-0.071	1	0.2	5.56E+01	895	385	NaN	0.6651	1	1	71	2		
CAK1	YFL029C	18	0.1211	14	0.0353	3	NaN	1	0.25	5.61E+01	265	368	0.4	0.4092	1	1	3	NaN		
CAF16	YFL028C	22	0.0492	12	0.0554	1	0.007	1	0.226	4.66E+01	184	289	2.5	0.3226	1	1	34	2	caf16	SPAC20G4.01
GYP8	YFL027C	23	0.1584	6	0.1952	1	-0.041	1	0.208	5.48E+01	114	497	0.9	0.3978	1	1	22	14	gyp10	SPBC651.03c
STE2	YFL026W	23	0.0761	18	0.1369	1	NaN	1	0.215	4.46E+01	67	431	6.7	0.6793	1	1	2	NaN	mam2	SPAC11H11.04
BST1	YFL025C	23	0.1112	13	0.0787	0	-0.028	1	0.231	5.28E+01	77	1029	0.4	0.3641	1	1	47	61	SPAC824.02	SPAC824.02
EPL1	YFL024C	23	0.0418	11	0.3762	17	NaN	1	0.269	5.25E+01	64	832	0.7	0.336	1	1	45	NaN	epl1	SPCC830.05c
BUD27	YFL023W	23	0.2909	7	0.5766	2	0.277	4	0.215	5.54E+01	644	796	0.8	0.6343	2	2	1	72		
FRS2	YFL022C	23	NaN	9	0.1034	1	NaN	1	0.373	4.07E+01	747	503	3.8	0.4779	1	1	79	NaN	frs2	SPAC3G9.06
GAT1	YFL021W	18	NaN	9	0.6118	2	-0.01	1	0.217	5.75E+01	146	510	0.4	0.5798	2	2	8	10	gaf1	SPCC1902.01
PAU5	YFL020C	5	0.0856	7	0.0902	0	-0.015	22	0.505	3.16E+01	234	122	0.6	0.3796	1	1	NaN	8		
LPD1	YFL018C	23	0.0242	24	0.0261	7	NaN	2	0.321	4.60E+01	519	499	2.5	0.4621	3	3	80	NaN	dld1	SPAC1002.09c
GNA1	YFL017C	22	0.0707	7	0.0063	7	NaN	1	0.242	4.98E+01	192	159	1.7	0.3488	1	1	71	NaN	gna1	SPAC16E8.03
MDJ1	YFL016C	23	0.0373	15	0.4755	2	NaN	1	0.244	5.43E+01	411	511	1.6	0.6237	3	3	73	NaN	mdj1	SPCC4G3.14
HSP12	YFL014W	22	0.0896	11	0.7706	25	-0.042	1	0.645	2.75E+01	682	109	3.4	0.9443	1	1	5	28	hsp9	SPAP8A3.04c
IES1	YFL013C	20	0.1383	6	0.3483	20	0.237	1	0.21	5.34E+01	306	692	0.7	0.4704	NaN	NaN	3	134		
YFL012W	YFL012W	3	0.5192	3	0.3176	0	-0.036	1	0.19	5.39E+01	37	148	NaN	0.5443	NaN	NaN	NaN	10		
HXT10	YFL011W	13	0.0437	12	0.163	0	-0.048	29	0.236	4.82E+01	29	546	NaN	0.7469	1	1	6	3		
WWM1	YFL010C	22	0.1282	8	0.6161	5	-0.014	1	0.231	5.02E+01	117	211	3.5	0.457	1	1	4	35	SPBC11B10.08	SPBC11B10.08
CDC4	YFL009W	23	0.0333	16	0.1772	3	NaN	2	0.212	5.16E+01	123	779	1	0.3287	7	2	39	NaN		
SMC1	YFL008W	23	0.0498	18	0.4767	8	NaN	1	0.25	5.10E+01	496	1225	0.4	0.4991	2	2	76	NaN	psm1	SPBC29A10.04
BLM10	YFL007W	20	0.064	8	0.0817	12	0.062	1	0.234	5.21E+01	77	2143	0.7	0.454	NaN	NaN	52	78		
SEC4	YFL005W	23	0.0105	24	0.2651	13	NaN	3	0.282	5.01E+01	122	215	4.4	0.3005	1	1	62	NaN	ypt2	SPAC9E9.07c
VTC2	YFL004W	23	0.0691	12	0.308	0	-0.057	2	0.257	4.44E+01	180	828	0.7	0.4755	4	3	2	8		
MSH4	YFL003C	12	0.0702	8	0.1629	1	0.02	1	0.203	5.33E+01	24	878	NaN	0.4933	4	4	54	83		
SPB4	YFL002C	23	0.0779	12	0.3366	31	NaN	1	0.22	5.01E+01	933	606	1.7	0.5568	3	3	76	NaN	SPBC24C6.02	SPBC24C6.02
DEG1	YFL001W	23	0.1596	8	0.3213	0	0.205	1	0.238	5.40E+01	813	442	1	0.4451	2	1	70	106	SPAC25B8.05	SPAC25B8.05
LOC1	YFR001W	20	0.0864	13	0.7745	46	NaN	1	0.278	5.11E+01	992	204	2.1	0.7087	NaN	NaN	2	NaN		
NIC96	YFR002W	23	0.0401	20	0.2157	11	NaN	1	0.237	5.03E+01	546	839	0.8	0.3562	1	1	69	NaN	nup97	SPCC1620.11
YPI1	YFR003C	22	0.0675	5	0.7935	2	NaN	1	0.204	4.98E+01	800	155	0.6	0.5147	1	1	28	NaN	SPAC6B12.13	SPAC6B12.13
RPN11	YFR004W	23	0.0045	11	0.3039	26	NaN	1	0.294	4.78E+01	432	306	6.2	0.3597	2	2	86	NaN	rpn11	SPAC31G5.13
SAD1	YFR005C	20	0.1803	10	0.0871	0	NaN	1	0.229	5.50E+01	482	448	0.7	0.3796	2	2	76	NaN	ubp10	SPBC577.07
YFR006W	YFR006W	20	0.0891	11	0.0542	1	0.021	1	0.293	4.72E+01	61	535	2.2	0.3264	2	2	70	8		
YFR007W	YFR007W	20	0.1335	5	0.034	1	-0.003	1	0.238	5.00E+01	240	353	0.3	0.412	1	1	16	6	SPAC227.14	SPAC227.14
FAR7	YFR008W	10	0.2329	4	0.3846	8	0.074	1	0.256	5.51E+01	497	221	0.2	0.3522	NaN	NaN	0	42		
GCN20	YFR009W	23	0.0365	7	0.2141	15	0.088	1	0.339	4.05E+01	463	752	2.8	0.4383	3	2	75	87	SPBC29A3.09c	SPBC29A3.09c
UBP6	YFR010W	21	0.0452	9	0.2745	38	0.192	1	0.26	4.59E+01	521	499	1.7	0.5496	1	1	81	67	ubp6	SPAC6G9.08
YFR011C	YFR011C	19	0.09	4	0.5647	0	0.077	1	0.269	4.97E+01	323	170	1.3	0.4696	1	1	0	55		
YFR012W	YFR012W	23	0.4249	5	0.0693	0	0.01	3	0.191	5.30E+01	23	202	NaN	0.5761	1	1	NaN	27		
IOC3	YFR013W	18	0.127	9	0.3355	14	0.033	2	0.236	5.21E+01	469	787	0.3	0.2852	NaN	NaN	0	30		
CMK1	YFR014C	23	0.0861	11	0.4103	2	-0.033	2	0.224	4.95E+01	801	446	0.4	0.606	1	1	63	10		
GSY1	YFR015C	20	0.0259	8	0.0749	5	-0.006	2	0.272	4.99E+01	555	708	0.1	0.8286	1	1	62	7		
YFR016C	YFR016C	21	0.317	6	0.7924	0	-0.015	2	0.243	5.10E+01	404	1233	0.3	0.516	NaN	NaN	0	16		
YFR017C	YFR017C	9	0.0793	3	0.441	2	-0.012	2	0.226	6.03E+01	814	195	0.2	0.8081	NaN	NaN	0	13		
YFR018C	YFR018C	12	0.0797	7	0.0716	0	-0.045	1	0.162	5.58E+01	32	363	0.8	0.4812	1	1	56	9		
FAB1	YFR019W	21	NaN	20	0.5729	9	NaN	1	0.215	5.33E+01	111	2278	0.3	0.4784	3	3	62	NaN	fab1	SPBC3E7.01
ATG18	YFR021W	21	0.0487	18	0.058	5	-0.002	1	0.229	5.39E+01	170	500	0.3	0.3938	2	1	58	33	SPAC589.07c	SPAC589.07c
ROG3	YFR022W	23	0.1055	5	0.5321	1	-0.059	3	0.182	5.25E+01	149	733	0.2	0.5866	2	2	3	17		
PES4	YFR023W	10	0.0678	7	0.2439	0	-0.004	2	0.217	4.89E+01	60	611	NaN	0.5051	3	2	1	22		
HIS2	YFR025C	23	0.117	5	0.009	4	NaN	1	0.245	5.82E+01	128	335	0.3	0.3961	1	1	10	NaN	SPCC1672.01	SPCC1672.01
YFR026C	YFR026C	1	0.7338	3	0.3254	0	-0.015	1	0.178	5.37E+01	53	169	0.2	0.5762	NaN	NaN	NaN	3		
ECO1	YFR027W	23	0.0924	22	0.1637	1	NaN	2	0.175	5.52E+01	163	281	NaN	0.5303	2	2	36	NaN		
CDC14	YFR028C	23	0.0595	15	0.3902	3	NaN	1	0.233	5.55E+01	774	551	1	0.3475	1	1	74	NaN	clp1	SPAC1782.09c
PTR3	YFR029W	18	0.1575	5	0.2153	0	NaN	1	0.24	5.72E+01	156	678	0.2	0.3928	NaN	NaN	0	NaN		
MET10	YFR030W	23	0.0727	16	0.0531	10	-0.018	1	0.315	4.18E+01	95	1035	0.4	0.6309	2	2	18	4	SPCC584.01c	SPCC584.01c
SMC2	YFR031C	23	0.0533	18	0.4744	7	NaN	1	0.234	5.00E+01	407	1170	1	0.4355	2	2	76	NaN	cut14	SPBP4H10.06c
YFR032C	YFR032C	13	0.0998	5	0.4637	1	-0.038	1	0.287	5.16E+01	18	289	NaN	0.6028	1	1	1	4		
QCR6	YFR033C	18	0.2276	13	0.5986	1	-0.027	1	0.3	4.68E+01	149	147	5.4	0.5666	1	1	6	21	qcr6	SPBC16C6.08c
PHO4	YFR034C	19	0.1544	13	0.7244	4	-0.029	1	0.198	5.79E+01	120	312	0.8	0.576	1	1	1	11		
YFR035C	YFR035C	1	0.4821	5	0.1228	0	-0.022	1	0.198	5.51E+01	7	114	0.1	0.4479	NaN	NaN	NaN	16		
CDC26	YFR036W	10	0.1137	14	0.5242	4	NaN	1	0.254	4.80E+01	61	124	0.7	0.4978	1	1	0	NaN		
RSC8	YFR037C	21	0.041	17	0.456	29	NaN	1	0.207	5.65E+01	432	557	1.3	0.3559	3	3	27	NaN	ssr2	SPAC23H3.10
YFR038W	YFR038W	20	0.0592	12	0.3306	0	-0.027	1	0.242	5.33E+01	313	853	0.4	0.3704	2	2	37	18		
YFR039C	YFR039C	19	0.2131	3	0.0824	0	0.004	2	0.214	5.75E+01	44	510	0.8	0.3744	NaN	NaN	0	16		
SAP155	YFR040W	23	0.0714	4	0.3373	13	0.099	4	0.232	5.37E+01	137	1002	0.6	0.3226	1	1	5	74		
ERJ5	YFR041C	23	0.1045	7	0.2983	5	-0.04	1	0.243	4.82E+01	102	295	0.7	0.4731	1	1	14	3	SPAC2E1P5.03	SPAC2E1P5.03
YFR042W	YFR042W	21	0.15	8	0.03	1	NaN	2	0.19	5.31E+01	195	200	0.7	0.4337	NaN	NaN	0	NaN		
YFR043C	YFR043C	21	0.1716	3	0.1603	4	NaN	1	0.23	5.89E+01	65	237	0.4	0.4223	NaN	NaN	1	NaN		
DUG1	YFR044C	23	0.0278	17	0.0125	2	0.013	1	0.342	4.30E+01	327	481	6.5	0.449	2	2	68	14	SPBC1198.08	SPBC1198.08
YFR045W	YFR045W	18	0.0738	8	0.2246	0	-0.053	1	0.225	5.34E+01	530	309	0.2	0.5096	3	1	0	10		
CNN1	YFR046C	9	0.2475	7	0.313	0	-0.023	1	0.231	5.60E+01	111	361	NaN	0.3576	NaN	NaN	0	13		
BNA6	YFR047C	18	0.0425	9	0.0068	4	0.036	1	0.257	5.11E+01	262	295	1.6	0.5292	2	2	40	11		
RMD8	YFR048W	23	0.0711	7	0.4819	1	0.024	1	0.207	5.16E+01	51	662	0.8	0.2891	1	1	12	30	sif3	SPAC12G12.15
YMR31	YFR049W	12	0.1521	6	0.1626	5	-0.048	1	0.19	5.27E+01	947	123	1.2	0.5897	1	1	0	9		
PRE4	YFR050C	23	0.0431	12	0.0677	15	NaN	1	0.257	4.74E+01	425	266	4.2	0.4342	1	1	82	NaN	SPBC577.10	SPBC577.10
RET2	YFR051C	23	0.0473	14	0.1996	24	NaN	1	0.278	5.36E+01	218	546	2.4	0.3314	2	2	82	NaN	ret2	SPCC285.08
RPN12	YFR052W	23	0.0584	10	0.073	38	NaN	1	0.279	4.96E+01	592	274	1.8	0.4364	1	1	74	NaN	rpn12	SPBC16G5.01
HXK1	YFR053C	23	0.0357	18	0.1485	9	-0.047	2	0.492	3.61E+01	710	485	3.7	0.9359	2	2	62	9		
YFR055W	YFR055W	4	NaN	12	0.0471	1	-0.085	1	0.211	5.00E+01	88	340	1.3	0.6832	1	1	4	3		
YFR057W	YFR057W	4	NaN	3	0.1192	1	-0.039	1	0.163	5.65E+01	5	151	NaN	0.7045	NaN	NaN	NaN	5		
MEI4	YER044C-A	7	0.1675	8	NaN	0	NaN	1	0.257	5.31E+01	58	408	NaN	0.5743	NaN	NaN	NaN	15		
AUA1	YFL010W-A	1	NaN	3	NaN	1	-0.024	1	0.299	4.07E+01	2	94	NaN	0.4518	NaN	NaN	NaN	9		
CWP2	YKL096W-A	8	0.213	8	NaN	3	-0.054	1	0.772	3.42E+01	92	92	NaN	0.7168	NaN	NaN	NaN	21		
SAE3	YHR079C-A	7	NaN	8	NaN	0	NaN	1	0.301	4.62E+01	5	91	NaN	0.6562	NaN	NaN	0	NaN		
VMA10	YHR039C-A	22	NaN	13	NaN	12	NaN	1	0.439	3.81E+01	137	114	NaN	0.3865	NaN	NaN	61	NaN	vma10	SPBC1289.05c
SFT1	YKL006C-A	22	0.1013	8	NaN	0	NaN	1	0.201	5.23E+01	52	97	NaN	0.5813	NaN	NaN	8	NaN		
PMP2	YEL017C-A	1	NaN	6	NaN	190	NaN	1	0.576	2.71E+01	298	43	NaN	0.4129	NaN	NaN	NaN	NaN		
RPL2A	YFR031C-A	19	0.0553	8	NaN	56	0.093	2	0.767	2.91E+01	753	254	NaN	0.6878	NaN	NaN	82	43		
SBH2	YER019C-A	18	0.0583	0	NaN	0	NaN	2	0.305	4.43E+01	394	88	NaN	0.38	NaN	NaN	24	NaN		
SBH1	YER087C-B	18	0.0688	10	NaN	0	NaN	2	0.257	4.83E+01	26	82	NaN	NaN	NaN	NaN	24	NaN		
ERP1	YAR002C-A	20	0.0558	11	NaN	73	-0.002	3	0.405	4.08E+01	167	219	NaN	0.4878	NaN	NaN	18	20		
PTC6	YCR079W	23	0.0497	12	0.1154	4	-0.022	1	0.17	5.75E+01	702	442	1	0.4843	1	1	8	35	ptc4	SPAC4A8.03c
FUN19	YAL034C	23	0.1279	3	0.4407	4	-0.004	2	0.203	5.72E+01	707	413	0.2	0.5854	1	1	3	10		
RPL34A	YER056C-A	18	0.1694	6	NaN	0	NaN	2	0.766	2.79E+01	707	121	NaN	0.6078	NaN	NaN	66	NaN		
YAL064C-A	YAL064C-A	1	NaN	3	NaN	0	-0.021	1	0.22	5.00E+01	7	126	NaN	0.5841	NaN	NaN	NaN	7		
YAL064W-B	YAL064W-B	1	NaN	5	NaN	0	NaN	1	0.178	5.63E+01	6	126	NaN	0.4874	NaN	NaN	NaN	NaN		
YAL068C	YAL068C	5	NaN	7	0.05	0	-0.035	22	0.623	2.78E+01	50	120	1.7	0.4032	1	1	NaN	8		
YAR066W	YAR066W	1	NaN	3	0.2759	1	NaN	1	0.372	4.62E+01	4	203	0.4	0.749	NaN	NaN	NaN	NaN		
YBL005W-A	YBL005W-A	1	NaN	5	NaN	0	NaN	1	0.248	5.28E+01	79	440	NaN	NaN	NaN	NaN	NaN	NaN		
YBL005W-B	YBL005W-B	8	NaN	25	NaN	0	NaN	42	0.243	5.03E+01	81	1755	NaN	NaN	NaN	NaN	NaN	NaN		
YBL100W-A	YBL100W-A	1	NaN	5	NaN	0	NaN	1	0.257	4.70E+01	74	438	NaN	NaN	NaN	NaN	NaN	NaN		
YBL100W-B	YBL100W-B	8	0.5092	26	NaN	0	NaN	42	0.243	4.89E+01	78	1770	NaN	NaN	NaN	NaN	3	NaN		
YBL111C	YBL111C	7	NaN	7	0.1454	1	NaN	15	0.195	6.09E+01	58	667	0.8	0.5266	1	1	NaN	NaN		
YBL112C	YBL112C	1	NaN	6	0.2	0	NaN	1	0.207	5.68E+01	47	105	2.2	0.5087	1	1	NaN	NaN		
YBL113C	YBL113C	2	NaN	3	0.0417	0	NaN	1	0.247	4.95E+01	37	792	5.6	0.5411	NaN	NaN	NaN	NaN		
YBR012W-A	YBR012W-A	1	NaN	5	NaN	0	NaN	1	0.228	5.60E+01	79	440	NaN	NaN	NaN	NaN	NaN	NaN		
YBR012W-B	YBR012W-B	8	NaN	26	NaN	0	NaN	42	0.24	5.10E+01	81	1756	NaN	NaN	NaN	NaN	NaN	NaN		
RPL19A	YBR084C-A	20	NaN	6	NaN	5	NaN	2	0.715	2.95E+01	847	189	NaN	0.6631	NaN	NaN	82	NaN		
NHP6B	YBR089C-A	16	0.0181	14	NaN	0	NaN	2	0.341	4.61E+01	32	99	NaN	0.4102	NaN	NaN	28	NaN		
YSY6	YBR162W-A	11	0.1045	7	NaN	1	-0.012	1	0.257	4.98E+01	480	65	NaN	0.4813	NaN	NaN	0	8		
RMD1	YDL001W	23	0.0166	5	0.4023	2	0.009	1	0.236	5.04E+01	292	430	0.6	0.2854	1	1	39	33	sif2	SPCC16C4.01
NHP10	YDL002C	20	0.0813	11	0.7734	18	0.301	1	0.198	5.10E+01	328	203	1.1	0.366	1	1	24	185	SPBC28F2.11	SPBC28F2.11
MCD1	YDL003W	23	0.1107	15	0.4364	3	NaN	3	0.217	4.89E+01	861	566	1.3	0.6955	2	2	51	NaN	rad21	SPCC338.17c
ATP16	YDL004W	23	0.0515	16	0.225	2	NaN	1	0.267	4.24E+01	374	160	5.5	0.4842	1	1	72	NaN	atp16	SPBC13E7.04
MED2	YDL005C	12	0.2287	6	0.6543	15	NaN	1	0.244	5.56E+01	412	431	0.8	0.3382	1	1	0	NaN		
PTC1	YDL006W	23	0.0223	17	0.1032	3	0.447	1	0.224	5.11E+01	165	281	0.8	0.27	1	1	27	233	ptc1	SPCC4F11.02
RPT2	YDL007W	23	0.0042	14	0.2952	22	NaN	1	0.229	4.80E+01	353	437	7.1	0.4819	1	1	84	NaN	rpt2	SPBC4.07c
APC11	YDL008W	23	0.0791	17	0.2545	2	NaN	1	0.287	5.56E+01	128	165	2.1	0.3415	1	1	49	NaN	apc11	SPAC343.03
YDL010W	YDL010W	23	0.1634	17	0.4589	0	-0.003	2	0.207	5.92E+01	185	231	1	0.4494	1	1	6	6		
YDL012C	YDL012C	14	NaN	5	0.7196	7	-0.023	3	0.302	5.97E+01	49	107	2.7	0.3138	1	1	0	4		
HEX3	YDL013W	21	0.0554	15	0.3037	7	0.469	1	0.187	5.41E+01	79	619	0.3	0.375	NaN	NaN	0	205		
NOP1	YDL014W	23	0.0597	17	0.3028	78	NaN	1	0.563	3.51E+01	940	327	15.2	0.711	1	1	84	NaN	fib1	SPBC2D10.10c
TSC13	YDL015C	23	0.0734	13	0.1613	10	NaN	1	0.29	4.64E+01	214	310	4.3	0.3166	1	1	82	NaN	SPBC646.07c	SPBC646.07c
CDC7	YDL017W	23	0.0181	16	0.1006	10	NaN	1	0.209	5.39E+01	181	507	0.3	0.4082	2	1	51	NaN	hsk1	SPBC776.12c
ERP3	YDL018C	23	0.1019	7	0.1022	9	-0.007	3	0.284	5.79E+01	269	225	0.8	0.4205	1	1	3	2		
OSH2	YDL019C	23	0.0929	12	0.3203	14	-0.027	3	0.219	5.13E+01	410	1283	0.7	0.4614	3	3	26	3		
RPN4	YDL020C	23	0.0997	14	0.467	1	0.21	1	0.229	5.22E+01	497	531	1.3	0.5971	NaN	NaN	4	133	rsv2	SPBC1105.14
GPM2	YDL021W	22	0.0553	8	0.0514	5	NaN	3	0.245	5.25E+01	870	311	0.1	0.8311	1	1	0	NaN		
GPD1	YDL022W	23	0.0257	18	0.0946	2	NaN	2	0.507	3.54E+01	773	391	7.6	0.8119	2	2	70	NaN		
DIA3	YDL024C	17	NaN	5	0.0427	0	0.022	5	0.177	5.25E+01	564	468	NaN	0.7804	1	1	14	8		
YDL025C	YDL025C	23	NaN	10	0.5629	1	-0.04	4	0.24	5.01E+01	736	620	0.2	0.7025	1	1	5	10		
YDL027C	YDL027C	9	0.1815	5	0.1333	0	-0.044	1	0.204	5.73E+01	1026	420	0.2	0.5763	NaN	NaN	0	5		
MPS1	YDL028C	23	0.0698	20	0.5458	0	NaN	1	0.188	5.06E+01	154	764	0.4	0.442	1	1	27	NaN		
ARP2	YDL029W	23	0.0079	19	0.0179	21	NaN	1	0.261	4.58E+01	450	391	4.8	0.4547	1	1	75	NaN	arp2	SPAC11H11.06
PRP9	YDL030W	23	0.1672	14	0.2396	16	NaN	1	0.226	5.10E+01	211	530	0.4	0.5002	2	2	80	NaN	sap61	SPBC36.09
DBP10	YDL031W	23	0.057	12	0.5678	18	NaN	1	0.273	4.76E+01	888	995	1.8	0.6074	3	3	78	NaN	dbp10	SPAC31A2.07c
SLM3	YDL033C	21	0.1086	11	0.0695	2	0.262	1	0.217	5.98E+01	42	417	0.3	0.6349	1	1	64	131	SPAC23H4.04	SPAC23H4.04
GPR1	YDL035C	23	0.0656	15	0.3975	2	NaN	1	0.203	5.34E+01	58	961	0.7	0.57	2	2	1	NaN		
PUS9	YDL036C	23	0.1168	7	0.1494	2	-0.049	2	0.219	5.28E+01	345	462	0.4	0.7102	1	1	37	6		
BSC1	YDL037C	10	NaN	4	0.6433	1	0.003	9	0.296	4.99E+01	5	328	NaN	0.872	1	1	NaN	3		
YDL038C	YDL038C	NaN	NaN	NaN	1	0	-0.034	NaN	NaN	NaN	10	NaN	1.6	0.7662	NaN	NaN	NaN	11		
PRM7	YDL039C	10	NaN	5	0.2957	1	-0.042	1	0.237	4.37E+01	29	698	3.1	0.7662	NaN	NaN	NaN	14		
NAT1	YDL040C	23	0.104	9	0.1089	15	NaN	1	0.275	4.97E+01	429	854	2	0.4098	2	2	81	NaN	SPCC338.07c	SPCC338.07c
SIR2	YDL042C	23	0.276	37	0.2064	5	NaN	2	0.236	5.25E+01	443	562	0.9	0.318	2	2	18	NaN		
PRP11	YDL043C	23	0.1235	12	0.3233	21	NaN	1	0.265	4.97E+01	525	266	0.6	0.2936	1	1	67	NaN	sap62	SPBC21C3.05
MTF2	YDL044C	18	0.1675	5	0.1909	6	NaN	1	0.232	5.21E+01	351	440	0.3	0.372	NaN	NaN	0	NaN		
FAD1	YDL045C	23	0.0799	8	0.2124	1	NaN	1	0.227	5.31E+01	680	306	0.4	0.3444	1	1	30	NaN	SPCC1235.04c	SPCC1235.04c
NPC2	YDL046W	23	0.0639	8	0.0231	0	NaN	1	0.291	5.61E+01	617	173	3.4	0.5442	1	1	15	NaN	SPAPB8E5.04c	SPAPB8E5.04c
SIT4	YDL047W	22	0.0036	20	0.0804	17	NaN	1	0.243	5.47E+01	170	311	1.6	0.3907	1	1	57	NaN	ppe1	SPCC1739.12
