ensembl_gene	associated_gene_name	salt_HeLa
ENSG00000249971	AC104116.1	unresponsive
ENSG00000120733	KDM3B	unresponsive
ENSG00000132563	REEP2	unresponsive
ENSG00000120738	EGR1	upregulated
ENSG00000241458	RPL7P19	upregulated
ENSG00000120705	ETF1	unresponsive
ENSG00000113013	HSPA9	unresponsive
ENSG00000222937	SNORD63B	downregulated
ENSG00000206989	SNORD63	unresponsive
ENSG00000044115	CTNNA1	unresponsive
ENSG00000253404	AC034243.1	unresponsive
ENSG00000146006	LRRTM2	unresponsive
ENSG00000120725	SIL1	unresponsive
ENSG00000249593	AC011405.1	unresponsive
ENSG00000280987	MATR3	unresponsive
ENSG00000281398	SNHG4	unresponsive
ENSG00000252213	SNORA74D	unresponsive
ENSG00000015479	MATR3	downregulated
ENSG00000120727	PAIP2	unresponsive
ENSG00000272742	AC135457.1	unresponsive
ENSG00000170482	SLC23A1	unresponsive
ENSG00000170476	MZB1	unresponsive
ENSG00000228672	PROB1	unresponsive
ENSG00000170469	SPATA24	unresponsive
ENSG00000170464	DNAJC18	unresponsive
ENSG00000184584	TMEM173	unresponsive
ENSG00000131508	UBE2D2	unresponsive
ENSG00000275506	AC010378.1	unresponsive
ENSG00000272255	AC113361.1	unresponsive
ENSG00000171604	CXXC5	unresponsive
ENSG00000250635	CXXC5-AS1	unresponsive
ENSG00000146005	PSD2	unresponsive
ENSG00000158458	NRG2	unresponsive
ENSG00000245146	MALINC1	unresponsive
ENSG00000185129	PURA	unresponsive
ENSG00000182700	IGIP	unresponsive
ENSG00000254363	AC011379.2	unresponsive
ENSG00000120306	CYSTM1	unresponsive
ENSG00000250069	AC011379.1	unresponsive
ENSG00000113068	PFDN1	unresponsive
ENSG00000113070	HBEGF	unresponsive
ENSG00000113073	SLC4A9	unresponsive
ENSG00000249637	AC008438.1	unresponsive
ENSG00000131503	ANKHD1	unresponsive
ENSG00000254996	ANKHD1-EIF4EBP3	unresponsive
ENSG00000213523	SRA1	unresponsive
ENSG00000243056	EIF4EBP3	unresponsive
ENSG00000113108	APBB3	unresponsive
ENSG00000176087	SLC35A4	unresponsive
ENSG00000170458	CD14	upregulated
ENSG00000131495	NDUFA2	unresponsive
ENSG00000113119	TMCO6	unresponsive
ENSG00000113141	IK	unresponsive
ENSG00000120314	WDR55	unresponsive
ENSG00000256453	DND1	unresponsive
ENSG00000170445	HARS	unresponsive
ENSG00000112855	HARS2	unresponsive
ENSG00000146007	ZMAT2	unresponsive
ENSG00000202111	VTRNA1-2	unresponsive
ENSG00000202515	VTRNA1-3	unresponsive
ENSG00000204970	PCDHA1	unresponsive
ENSG00000279726	AC005609.5	unresponsive
ENSG00000255408	PCDHA3	unresponsive
ENSG00000204967	PCDHA4	unresponsive
ENSG00000081842	PCDHA6	unresponsive
ENSG00000204963	PCDHA7	unresponsive
ENSG00000204962	PCDHA8	unresponsive
ENSG00000204961	PCDHA9	unresponsive
ENSG00000278907	AC005609.2	unresponsive
ENSG00000250120	PCDHA10	unresponsive
ENSG00000249158	PCDHA11	unresponsive
ENSG00000251664	PCDHA12	unresponsive
ENSG00000278915	AC005609.3	unresponsive
ENSG00000279028	AC010223.1	unresponsive
ENSG00000243232	PCDHAC2	unresponsive
ENSG00000279047	AC244517.5	unresponsive
ENSG00000112852	PCDHB2	unresponsive
ENSG00000272154	AC244517.2	unresponsive
ENSG00000113205	PCDHB3	unresponsive
ENSG00000081818	PCDHB4	unresponsive
ENSG00000113209	PCDHB5	unresponsive
ENSG00000280029	AC244517.11	unresponsive
ENSG00000113211	PCDHB6	unresponsive
ENSG00000255622	PCDHB17P	unresponsive
ENSG00000113212	PCDHB7	unresponsive
ENSG00000120322	PCDHB8	unresponsive
ENSG00000272674	PCDHB16	unresponsive
ENSG00000120324	PCDHB10	unresponsive
ENSG00000278936	AC244517.4	unresponsive
ENSG00000177839	PCDHB9	unresponsive
ENSG00000197479	PCDHB11	unresponsive
ENSG00000120328	PCDHB12	unresponsive
ENSG00000187372	PCDHB13	unresponsive
ENSG00000120327	PCDHB14	unresponsive
ENSG00000146001	PCDHB18P	unresponsive
ENSG00000113248	PCDHB15	unresponsive
ENSG00000178913	TAF7	unresponsive
ENSG00000204956	PCDHGA1	unresponsive
ENSG00000081853	PCDHGA2	unresponsive
ENSG00000254245	PCDHGA3	unresponsive
ENSG00000254221	PCDHGB1	unresponsive
ENSG00000280026	AC005618.3	unresponsive
ENSG00000262576	PCDHGA4	unresponsive
ENSG00000253910	PCDHGB2	unresponsive
ENSG00000253485	PCDHGA5	unresponsive
ENSG00000262209	PCDHGB3	unresponsive
ENSG00000253731	PCDHGA6	unresponsive
ENSG00000253537	PCDHGA7	unresponsive
ENSG00000253953	PCDHGB4	unresponsive
ENSG00000261934	PCDHGA9	unresponsive
ENSG00000253305	PCDHGB6	unresponsive
ENSG00000253846	PCDHGA10	unresponsive
ENSG00000254122	PCDHGB7	unresponsive
ENSG00000253873	PCDHGA11	unresponsive
ENSG00000240184	PCDHGC3	unresponsive
ENSG00000240764	PCDHGC5	unresponsive
ENSG00000131504	DIAPH1	unresponsive
ENSG00000228737	AC008781.1	unresponsive
ENSG00000171720	HDAC3	unresponsive
ENSG00000164620	RELL2	unresponsive
ENSG00000197948	FCHSD1	unresponsive
ENSG00000120318	ARAP3	unresponsive
ENSG00000156453	PCDH1	unresponsive
ENSG00000081791	DELE1	unresponsive
ENSG00000113555	PCDH12	unresponsive
ENSG00000271871	AC005740.4	unresponsive
ENSG00000013561	RNF14	unresponsive
ENSG00000254099	AC005740.3	unresponsive
ENSG00000113552	GNPDA1	unresponsive
ENSG00000131507	NDFIP1	unresponsive
ENSG00000280047	AC091825.1	unresponsive
ENSG00000187678	SPRY4	unresponsive
ENSG00000113578	FGF1	downregulated
ENSG00000145819	ARHGAP26	unresponsive
ENSG00000113580	NR3C1	unresponsive
ENSG00000231579	RPL7P21	unresponsive
ENSG00000279130	AC091925.1	unresponsive
ENSG00000251205	AC016598.2	unresponsive
ENSG00000145817	YIPF5	unresponsive
ENSG00000183775	KCTD16	unresponsive
ENSG00000251031	AC132803.1	unresponsive
ENSG00000215325	ASS1P10	unresponsive
ENSG00000186314	PRELID2	unresponsive
ENSG00000249363	AC011411.1	unresponsive
ENSG00000156463	SH3RF2	unresponsive
ENSG00000173261	PLAC8L1	unresponsive
ENSG00000251556	AC091887.1	unresponsive
ENSG00000133706	LARS	unresponsive
ENSG00000091009	RBM27	unresponsive
ENSG00000091010	POU4F3	unresponsive
ENSG00000113649	TCERG1	unresponsive
ENSG00000156475	PPP2R2B	unresponsive
ENSG00000248568	KRT8P48	unresponsive
ENSG00000169302	STK32A	unresponsive
ENSG00000113657	DPYSL3	unresponsive
ENSG00000280780	JAKMIP2-AS1	unresponsive
ENSG00000176049	JAKMIP2	unresponsive
ENSG00000178776	C5orf46	unresponsive
ENSG00000248362	AC011352.1	unresponsive
ENSG00000251320	AC011352.3	unresponsive
ENSG00000133710	SPINK5	unresponsive
ENSG00000178172	SPINK6	unresponsive
ENSG00000249503	HMGN1P16	unresponsive
ENSG00000248109	MARCOL	unresponsive
ENSG00000214510	SPINK13	unresponsive
ENSG00000247199	AC091948.1	unresponsive
ENSG00000249834	PGBD4P3	upregulated
ENSG00000145879	SPINK7	upregulated
ENSG00000204909	SPINK9	unresponsive
ENSG00000145868	FBXO38	unresponsive
ENSG00000274799	RF00017	unresponsive
ENSG00000251330	AC114939.1	unresponsive
ENSG00000169252	ADRB2	upregulated
ENSG00000169247	SH3TC2	unresponsive
ENSG00000173210	ABLIM3	unresponsive
ENSG00000253406	AC012613.2	unresponsive
ENSG00000157510	AFAP1L1	unresponsive
ENSG00000164284	GRPEL2	unresponsive
ENSG00000253618	GRPEL2-AS1	unresponsive
ENSG00000145882	PCYOX1L	unresponsive
ENSG00000127743	IL17B	unresponsive
ENSG00000253865	AC131025.1	unresponsive
ENSG00000249669	CARMN	unresponsive
ENSG00000275871	AC131025.2	unresponsive
ENSG00000269936	NA	downregulated
ENSG00000113712	CSNK1A1	unresponsive
ENSG00000230551	AC021078.1	unresponsive
ENSG00000241112	RPL29P14	unresponsive
ENSG00000183111	ARHGEF37	unresponsive
ENSG00000155846	PPARGC1B	unresponsive
ENSG00000132915	PDE6A	unresponsive
ENSG00000155850	SLC26A2	unresponsive
ENSG00000164296	TIGD6	unresponsive
ENSG00000113716	HMGXB3	unresponsive
ENSG00000241907	RPS20P4	unresponsive
ENSG00000182578	CSF1R	upregulated
ENSG00000214485	RPL7P1	unresponsive
ENSG00000113721	PDGFRB	unresponsive
ENSG00000113722	CDX1	unresponsive
ENSG00000011083	SLC6A7	downregulated
ENSG00000070808	CAMK2A	unresponsive
ENSG00000183876	ARSI	unresponsive
ENSG00000070814	TCOF1	unresponsive
ENSG00000019582	CD74	unresponsive
ENSG00000164587	RPS14	unresponsive
ENSG00000254333	NDST1-AS1	unresponsive
ENSG00000070614	NDST1	unresponsive
ENSG00000171992	SYNPO	unresponsive
ENSG00000164591	MYOZ3	upregulated
ENSG00000250309	AC008453.1	unresponsive
ENSG00000086589	RBM22	unresponsive
ENSG00000132912	DCTN4	unresponsive
ENSG00000256235	SMIM3	unresponsive
ENSG00000237693	IRGM	unresponsive
ENSG00000145908	ZNF300	unresponsive
ENSG00000197083	ZNF300P1	upregulated
ENSG00000211445	GPX3	unresponsive
ENSG00000145901	TNIP1	unresponsive
ENSG00000197043	ANXA6	unresponsive
ENSG00000198624	CCDC69	unresponsive
ENSG00000196743	GM2A	unresponsive
ENSG00000123643	SLC36A1	unresponsive
ENSG00000086570	FAT2	unresponsive
ENSG00000271795	AC011337.1	unresponsive
ENSG00000113140	SPARC	unresponsive
ENSG00000249035	CLMAT3	unresponsive
ENSG00000272112	AC011374.2	unresponsive
ENSG00000177556	ATOX1	unresponsive
ENSG00000253921	AC091982.1	unresponsive
ENSG00000213433	RPLP1P6	unresponsive
ENSG00000275765	AC091982.3	unresponsive
ENSG00000145907	G3BP1	unresponsive
ENSG00000145888	GLRA1	upregulated
ENSG00000270978	AC091982.2	upregulated
ENSG00000055147	FAM114A2	unresponsive
ENSG00000037749	MFAP3	unresponsive
ENSG00000164574	GALNT10	unresponsive
ENSG00000245275	SAP30L-AS1	unresponsive
ENSG00000164576	SAP30L	unresponsive
ENSG00000113196	HAND1	unresponsive
ENSG00000155506	LARP1	unresponsive
ENSG00000170271	FAXDC2	unresponsive
ENSG00000277039	RF00017	unresponsive
ENSG00000155508	CNOT8	unresponsive
ENSG00000082516	GEMIN5	unresponsive
ENSG00000082515	MRPL22	unresponsive
ENSG00000226650	KIF4B	unresponsive
ENSG00000170624	SGCD	unresponsive
ENSG00000231989	PPP1R2B	unresponsive
ENSG00000135077	HAVCR2	unresponsive
ENSG00000155868	MED7	unresponsive
ENSG00000113263	ITK	downregulated
ENSG00000253653	AC009185.1	unresponsive
ENSG00000055163	CYFIP2	unresponsive
ENSG00000172568	FNDC9	upregulated
ENSG00000251405	AC016571.1	unresponsive
ENSG00000248544	AC008676.1	unresponsive
ENSG00000135074	ADAM19	unresponsive
ENSG00000172548	NIPAL4	unresponsive
ENSG00000039600	SOX30	unresponsive
ENSG00000113272	THG1L	unresponsive
ENSG00000155858	LSM11	downregulated
ENSG00000113282	CLINT1	unresponsive
ENSG00000253424	AC025437.2	unresponsive
ENSG00000164330	EBF1	unresponsive
ENSG00000245812	LINC02202	unresponsive
ENSG00000279204	AC134043.2	unresponsive
ENSG00000145860	RNF145	unresponsive
ENSG00000253256	AC134043.1	unresponsive
ENSG00000164332	UBLCP1	unresponsive
ENSG00000249738	AC008691.1	unresponsive
ENSG00000113302	IL12B	unresponsive
ENSG00000170214	ADRA1B	unresponsive
ENSG00000248626	GAPDHP40	unresponsive
ENSG00000113312	TTC1	unresponsive
ENSG00000170234	PWWP2A	unresponsive
ENSG00000170231	FABP6	unresponsive
ENSG00000135083	CCNJL	unresponsive
ENSG00000145861	C1QTNF2	unresponsive
ENSG00000221886	ZBED8	downregulated
ENSG00000164609	SLU7	unresponsive
ENSG00000164611	PTTG1	unresponsive
ENSG00000253522	MIR3142HG	unresponsive
ENSG00000253417	LINC02159	unresponsive
ENSG00000145864	GABRB2	unresponsive
ENSG00000113327	GABRG2	unresponsive
ENSG00000113328	CCNG1	unresponsive
ENSG00000170584	NUDCD2	unresponsive
ENSG00000072571	HMMR	unresponsive
ENSG00000251018	HMMR-AS1	unresponsive
ENSG00000038274	MAT2B	unresponsive
ENSG00000241956	AC109466.1	unresponsive
ENSG00000229119	AC026403.1	unresponsive
ENSG00000145934	TENM2	upregulated
ENSG00000253660	AC008464.1	unresponsive
ENSG00000279739	AC011369.2	unresponsive
ENSG00000253978	CTB-178M22.2	unresponsive
ENSG00000113645	WWC1	unresponsive
ENSG00000113643	RARS	unresponsive
ENSG00000188573	FBLL1	unresponsive
ENSG00000120137	PANK3	unresponsive
ENSG00000233913	RPL10P9	unresponsive
ENSG00000254192	AC011365.2	unresponsive
ENSG00000184347	SLIT3	unresponsive
ENSG00000254042	AC011365.1	unresponsive
ENSG00000040275	SPDL1	unresponsive
ENSG00000134516	DOCK2	unresponsive
ENSG00000204767	INSYN2B	unresponsive
ENSG00000168269	FOXI1	unresponsive
ENSG00000235172	LINC01366	unresponsive
ENSG00000182132	KCNIP1	unresponsive
ENSG00000145936	KCNMB1	unresponsive
ENSG00000276554	NA	unresponsive
ENSG00000204764	RANBP17	unresponsive
ENSG00000253966	AC008514.2	unresponsive
ENSG00000253213	AC010306.1	unresponsive
ENSG00000275038	AC091980.2	unresponsive
ENSG00000164438	TLX3	unresponsive
ENSG00000254256	RPSAP71	unresponsive
ENSG00000254012	RPL10P8	unresponsive
ENSG00000181163	NPM1	unresponsive
ENSG00000156427	FGF18	upregulated
ENSG00000185662	SMIM23	unresponsive
ENSG00000072803	FBXW11	unresponsive
ENSG00000072786	STK10	unresponsive
ENSG00000168246	UBTD2	unresponsive
ENSG00000174705	SH3PXD2B	unresponsive
ENSG00000214357	NEURL1B	unresponsive
ENSG00000253683	AC027309.2	unresponsive
ENSG00000253445	AC027309.1	unresponsive
ENSG00000253295	AC022217.2	upregulated
ENSG00000213386	AC022217.1	upregulated
ENSG00000253736	AC022217.3	upregulated
ENSG00000120129	DUSP1	upregulated
ENSG00000113719	ERGIC1	unresponsive
ENSG00000204758	AC008429.1	unresponsive
ENSG00000254295	AC008429.3	unresponsive
ENSG00000037241	RPL26L1	unresponsive
ENSG00000253785	AC008429.2	unresponsive
ENSG00000113732	ATP6V0E1	unresponsive
ENSG00000254328	AC008429.4	upregulated
ENSG00000164463	CREBRF	unresponsive
ENSG00000253172	AC008378.1	unresponsive
ENSG00000113734	BNIP1	unresponsive
ENSG00000183072	NKX2-5	unresponsive
ENSG00000113739	STC2	unresponsive
ENSG00000253955	AC008663.2	unresponsive
ENSG00000145919	BOD1	unresponsive
ENSG00000253686	LINC01484	unresponsive
ENSG00000113742	CPEB4	unresponsive
ENSG00000185056	C5orf47	unresponsive
ENSG00000170091	NSG2	unresponsive
ENSG00000249722	AC025752.1	unresponsive
ENSG00000249306	LINC01411	unresponsive
ENSG00000213376	GAPDHP71	unresponsive
ENSG00000249031	SUMO2P6	unresponsive
ENSG00000120149	MSX2	unresponsive
ENSG00000251144	AC113346.1	unresponsive
ENSG00000164466	SFXN1	unresponsive
ENSG00000051596	THOC3	unresponsive
ENSG00000272494	OR1X1P	unresponsive
ENSG00000182230	FAM153B	unresponsive
ENSG00000248596	AC139491.2	unresponsive
ENSG00000170085	SIMC1	unresponsive
ENSG00000251667	BRCC3P1	unresponsive
ENSG00000122203	KIAA1191	unresponsive
ENSG00000250909	AC138956.1	unresponsive
ENSG00000251414	AC138956.2	unresponsive
ENSG00000175414	ARL10	unresponsive
ENSG00000048162	NOP16	unresponsive
ENSG00000146066	HIGD2A	unresponsive
ENSG00000175416	CLTB	unresponsive
ENSG00000113194	FAF2	unresponsive
ENSG00000146083	RNF44	unresponsive
ENSG00000074276	CDHR2	unresponsive
ENSG00000169258	GPRIN1	unresponsive
ENSG00000048140	TSPAN17	unresponsive
ENSG00000087206	UIMC1	unresponsive
ENSG00000113761	ZNF346	unresponsive
ENSG00000251666	ZNF346-IT1	unresponsive
ENSG00000160867	FGFR4	unresponsive
ENSG00000165671	NSD1	unresponsive
ENSG00000240729	AC146507.2	upregulated
ENSG00000270706	PRMT1P1	upregulated
ENSG00000169228	RAB24	unresponsive
ENSG00000213347	MXD3	unresponsive
ENSG00000169230	PRELID1	unresponsive
ENSG00000169223	LMAN2	unresponsive
ENSG00000169220	RGS14	unresponsive
ENSG00000131187	F12	upregulated
ENSG00000198055	GRK6	unresponsive
ENSG00000246334	PRR7-AS1	downregulated
ENSG00000131188	PRR7	unresponsive
ENSG00000113758	DBN1	unresponsive
ENSG00000279821	AC145098.2	downregulated
ENSG00000196923	PDLIM7	unresponsive
ENSG00000248996	AC145098.1	unresponsive
ENSG00000146094	DOK3	unresponsive
ENSG00000183258	DDX41	unresponsive
ENSG00000146067	FAM193B	unresponsive
ENSG00000272459	AC139795.3	unresponsive
ENSG00000184840	TMED9	unresponsive
ENSG00000027847	B4GALT7	unresponsive
ENSG00000247679	AC139795.2	unresponsive
ENSG00000246596	AC139795.1	unresponsive
ENSG00000170074	FAM153A	unresponsive
ENSG00000170089	AC106795.1	unresponsive
ENSG00000249684	AC106795.2	unresponsive
ENSG00000218227	AC136632.1	unresponsive
ENSG00000145911	N4BP3	unresponsive
ENSG00000145916	RMND5B	unresponsive
ENSG00000145912	NHP2	unresponsive
ENSG00000197451	HNRNPAB	unresponsive
ENSG00000175309	PHYKPL	unresponsive
ENSG00000050767	COL23A1	upregulated
ENSG00000113240	CLK4	unresponsive
ENSG00000252464	RN7SKP70	unresponsive
ENSG00000169131	ZNF354A	unresponsive
ENSG00000250420	AACSP1	unresponsive
ENSG00000178338	ZNF354B	unresponsive
ENSG00000198939	ZFP2	upregulated
ENSG00000234284	ZNF879	unresponsive
ENSG00000177932	ZNF354C	unresponsive
ENSG00000253144	AC104117.2	unresponsive
ENSG00000176783	RUFY1	unresponsive
ENSG00000244945	AC136604.2	unresponsive
ENSG00000169045	HNRNPH1	unresponsive
ENSG00000250999	AC136604.3	unresponsive
ENSG00000204659	CBY3	unresponsive
ENSG00000127022	CANX	unresponsive
ENSG00000225051	HMGB3P22	unresponsive
ENSG00000161021	MAML1	unresponsive
ENSG00000161013	MGAT4B	unresponsive
ENSG00000161011	SQSTM1	unresponsive
ENSG00000161010	MRNIP	unresponsive
ENSG00000222448	RN7SKP150	upregulated
ENSG00000245317	AC008393.1	upregulated
ENSG00000197226	TBC1D9B	unresponsive
ENSG00000113269	RNF130	unresponsive
ENSG00000249412	AC010285.1	unresponsive
ENSG00000146090	RASGEF1C	unresponsive
ENSG00000050748	MAPK9	unresponsive
ENSG00000253908	AC104115.2	unresponsive
ENSG00000248367	AC008610.1	unresponsive
ENSG00000131459	GFPT2	unresponsive
ENSG00000250509	AC034213.1	unresponsive
ENSG00000113300	CNOT6	unresponsive
ENSG00000037280	FLT4	unresponsive
ENSG00000131446	MGAT1	unresponsive
ENSG00000280161	AC022413.1	unresponsive
ENSG00000278970	HEIH	unresponsive
ENSG00000245060	LINC00847	unresponsive
ENSG00000196670	ZFP62	unresponsive
ENSG00000248473	LINC01962	unresponsive
ENSG00000250222	AC008443.5	unresponsive
ENSG00000146054	TRIM7	unresponsive
ENSG00000250900	AC008443.6	upregulated
ENSG00000248514	AC008443.4	unresponsive
ENSG00000146063	TRIM41	unresponsive
ENSG00000247049	AC008443.2	unresponsive
ENSG00000204628	RACK1	unresponsive
ENSG00000233937	AC008443.1	unresponsive
ENSG00000183718	TRIM52	downregulated
ENSG00000248275	TRIM52-AS1	unresponsive
ENSG00000248103	AC008443.3	unresponsive
ENSG00000222533	RNU6-705P	unresponsive
ENSG00000238035	AC138035.1	unresponsive
ENSG00000250765	AC138035.2	unresponsive
ENSG00000213285	RPL23AP45	unresponsive
ENSG00000112679	DUSP22	unresponsive
ENSG00000137265	IRF4	upregulated
ENSG00000112685	EXOC2	unresponsive
ENSG00000230433	AL031770.1	unresponsive
ENSG00000188996	HUS1B	upregulated
ENSG00000176515	AL033381.1	unresponsive
ENSG00000164379	FOXQ1	unresponsive
ENSG00000281809	LINC01394	unresponsive
ENSG00000261730	AL034346.1	unresponsive
ENSG00000137273	FOXF2	unresponsive
ENSG00000275859	MIR6720	unresponsive
ENSG00000272279	AL512329.2	unresponsive
ENSG00000280916	FOXCUT	unresponsive
ENSG00000054598	FOXC1	unresponsive
ENSG00000112699	GMDS	unresponsive
ENSG00000250903	GMDS-DT	unresponsive
ENSG00000164385	LINC01600	unresponsive
ENSG00000145949	MYLK4	unresponsive
ENSG00000124535	WRNIP1	unresponsive
ENSG00000021355	SERPINB1	unresponsive
ENSG00000266750	MIR4645	unresponsive
ENSG00000230438	SERPINB9P1	unresponsive
ENSG00000170542	SERPINB9	unresponsive
ENSG00000124570	SERPINB6	unresponsive
ENSG00000244041	LINC01011	unresponsive
ENSG00000124588	NQO2	unresponsive
ENSG00000224846	AL133351.1	downregulated
ENSG00000271361	HTATSF1P2	unresponsive
ENSG00000137275	RIPK1	unresponsive
ENSG00000272277	AL031963.3	unresponsive
ENSG00000137274	BPHL	unresponsive
ENSG00000228170	AL031963.1	unresponsive
ENSG00000137267	TUBB2A	unresponsive
ENSG00000216819	TUBB2BP1	unresponsive
ENSG00000137285	TUBB2B	unresponsive
ENSG00000180822	PSMG4	unresponsive
ENSG00000137266	SLC22A23	unresponsive
ENSG00000272320	AL445309.1	unresponsive
ENSG00000168994	PXDC1	unresponsive
ENSG00000270504	AL391422.4	unresponsive
ENSG00000219992	AL391422.1	unresponsive
ENSG00000145945	FAM50B	unresponsive
ENSG00000260604	AL590004.3	downregulated
ENSG00000230648	AL138831.1	unresponsive
ENSG00000112739	PRPF4B	unresponsive
ENSG00000145975	FAM217A	unresponsive
ENSG00000185689	C6orf201	unresponsive
ENSG00000198721	ECI2	unresponsive
ENSG00000254821	AL136309.4	unresponsive
ENSG00000234817	AL136309.2	downregulated
ENSG00000153046	CDYL	unresponsive
ENSG00000124787	RPP40	unresponsive
ENSG00000272142	AL359643.3	unresponsive
ENSG00000271978	AL359643.2	unresponsive
ENSG00000220685	AL139094.1	unresponsive
ENSG00000219607	PPP1R3G	unresponsive
ENSG00000214113	LYRM4	unresponsive
ENSG00000145982	FARS2	unresponsive
ENSG00000216360	AL136968.1	unresponsive
ENSG00000261211	AL031123.2	unresponsive
ENSG00000279368	AL031123.3	unresponsive
ENSG00000124782	RREB1	unresponsive
ENSG00000124783	SSR1	unresponsive
ENSG00000238221	AL139095.4	unresponsive
ENSG00000164304	CAGE1	unresponsive
ENSG00000230570	AL139095.3	unresponsive
ENSG00000124784	RIOK1	unresponsive
ENSG00000233503	HNRNPLP1	unresponsive
ENSG00000261189	AL031058.1	unresponsive
ENSG00000096696	DSP	unresponsive
ENSG00000168566	SNRNP48	unresponsive
ENSG00000236512	AL390026.1	unresponsive
ENSG00000153162	BMP6	unresponsive
ENSG00000239264	TXNDC5	unresponsive
ENSG00000219294	PIP5K1P1	unresponsive
ENSG00000188428	BLOC1S5	unresponsive
ENSG00000124802	EEF1E1	unresponsive
ENSG00000124786	SLC35B3	unresponsive
ENSG00000230939	NA	unresponsive
ENSG00000137203	TFAP2A	unresponsive
ENSG00000229950	TFAP2A-AS1	unresponsive
ENSG00000228478	AL138885.2	unresponsive
ENSG00000183674	LINC00518	unresponsive
ENSG00000229401	MIR5689HG	unresponsive
ENSG00000111846	GCNT2	unresponsive
ENSG00000237685	AL139039.3	unresponsive
ENSG00000137434	C6orf52	unresponsive
ENSG00000111845	PAK1IP1	unresponsive
ENSG00000111843	TMEM14C	unresponsive
ENSG00000272097	AL024498.1	unresponsive
ENSG00000137210	TMEM14B	unresponsive
ENSG00000111837	MAK	unresponsive
ENSG00000197977	ELOVL2	unresponsive
ENSG00000224531	SMIM13	unresponsive
ENSG00000247925	AL139807.1	unresponsive
ENSG00000111859	NEDD9	unresponsive
ENSG00000205269	TMEM170B	unresponsive
ENSG00000111863	ADTRP	unresponsive
ENSG00000234427	AL022724.1	unresponsive
ENSG00000229896	AL157373.2	unresponsive
ENSG00000095951	HIVEP1	unresponsive
ENSG00000078401	EDN1	upregulated
ENSG00000212802	RPL15P3	unresponsive
ENSG00000112137	PHACTR1	unresponsive
ENSG00000215022	AL008729.1	unresponsive
ENSG00000145979	TBC1D7	unresponsive
ENSG00000272379	AL008729.2	unresponsive
ENSG00000145990	GFOD1	unresponsive
ENSG00000237786	GFOD1-AS1	unresponsive
ENSG00000124523	SIRT5	unresponsive
ENSG00000261071	AL441883.1	unresponsive
ENSG00000225921	NOL7	unresponsive
ENSG00000010017	RANBP9	unresponsive
ENSG00000050393	MCUR1	unresponsive
ENSG00000272209	AL023583.1	unresponsive
ENSG00000180537	RNF182	unresponsive
ENSG00000233981	AL022396.1	unresponsive
ENSG00000112149	CD83	unresponsive
ENSG00000226673	LINC01108	unresponsive
ENSG00000271888	AL136162.1	unresponsive
ENSG00000008083	JARID2	downregulated
ENSG00000235488	JARID2-AS1	unresponsive
ENSG00000047579	DTNBP1	unresponsive
ENSG00000007944	MYLIP	upregulated
ENSG00000218073	AL021407.3	upregulated
ENSG00000217078	AL021407.1	upregulated
ENSG00000216364	MRPL42P2	upregulated
ENSG00000137198	GMPR	unresponsive
ENSG00000282024	AL009031.1	upregulated
ENSG00000124788	ATXN1	downregulated
ENSG00000229931	AL137003.1	unresponsive
ENSG00000272341	AL137003.2	unresponsive
ENSG00000112183	RBM24	unresponsive
ENSG00000112186	CAP2	unresponsive
ENSG00000137414	FAM8A1	unresponsive
ENSG00000124789	NUP153	unresponsive
ENSG00000272269	AL138724.1	unresponsive
ENSG00000137177	KIF13A	unresponsive
ENSG00000220920	AL023807.1	unresponsive
ENSG00000187566	NHLRC1	unresponsive
ENSG00000137364	TPMT	unresponsive
ENSG00000165097	KDM1B	unresponsive
ENSG00000124795	DEK	unresponsive
ENSG00000137393	RNF144B	unresponsive
ENSG00000228412	AL022068.1	unresponsive
ENSG00000172197	MBOAT1	unresponsive
ENSG00000227803	AL158198.1	unresponsive
ENSG00000112242	E2F3	unresponsive
ENSG00000145996	CDKAL1	unresponsive
ENSG00000124766	SOX4	unresponsive
ENSG00000272168	CASC15	unresponsive
ENSG00000261568	AL359694.2	unresponsive
ENSG00000172179	PRL	unresponsive
ENSG00000146038	DCDC2	unresponsive
ENSG00000146049	KAAG1	unresponsive
ENSG00000124532	MRS2	unresponsive
ENSG00000112293	GPLD1	unresponsive
ENSG00000112294	ALDH5A1	unresponsive
ENSG00000137261	KIAA0319	unresponsive
ENSG00000111802	TDP2	unresponsive
ENSG00000112304	ACOT13	unresponsive
ENSG00000272345	AL031775.1	unresponsive
ENSG00000112308	C6orf62	unresponsive
ENSG00000272402	AL031775.2	unresponsive
ENSG00000112312	GMNN	unresponsive
ENSG00000111913	RIPOR2	unresponsive
ENSG00000214975	PPIAP29	unresponsive
ENSG00000272053	NA	unresponsive
ENSG00000220517	ASS1P1	unresponsive
ENSG00000168405	CMAHP	unresponsive
ENSG00000219682	AL133268.1	unresponsive
ENSG00000079691	CARMIL1	unresponsive
ENSG00000146039	SLC17A4	unresponsive
ENSG00000112343	TRIM38	unresponsive
ENSG00000272558	U91328.2	unresponsive
ENSG00000272462	U91328.1	unresponsive
ENSG00000124610	HIST1H1A	upregulated
ENSG00000275714	HIST1H3A	unresponsive
ENSG00000278637	HIST1H4A	upregulated
ENSG00000278705	HIST1H4B	upregulated
ENSG00000274267	HIST1H3B	upregulated
ENSG00000278463	HIST1H2AB	upregulated
ENSG00000187837	HIST1H1C	unresponsive
